SEQC_NB001	SEQC_NB002	SEQC_NB003	SEQC_NB004	SEQC_NB005	SEQC_NB006
UKv4_A_24_P602507	-0.439095125	-0.964240532	-0.560510292	-0.325992643	-0.387466404
UKv4_A_23_P36496	0.891445331	0.82061786	0.915384001	1.185323399	1.021566812
UKv4_A_23_P35989	0.355457739	-0.0080053	0.109074367	0.376356701	0.181096027
UKv4_A_23_P80827	1.12252406	1.030339576	1.003971088	1.160626724	1.068112338
UKv4_A_23_P155939	0.209075916	0.437097397	0.450385369	0.36220129	0.366099761
UKv4_A_23_P256473	-0.324674399	0.229428421	-0.225885108	1.243752118	0.3354622
UKv4_A_23_P119502	1.222562292	0.574631051	-0.245942561	0.223357787	-0.106425699
UKv4_A_23_P254212	-0.158476696	-0.238596551	1.298481365	-0.407612143	-0.145311835
UKv4_A_23_P324340	1.293196316	1.389227147	1.194516897	1.32175747	1.211284017
UKv4_A_32_P163147	-0.613283102	-0.361418894	-0.260651361	-0.676564958	-0.585726775
UKv4_A_32_P231250	-0.684875959	-0.434291203	-0.249954052	-0.517843644	-0.17506562
UKv4_A_23_P258136	-0.442930457	-0.377498699	0.348760938	-0.14679116	0.878395133
UKv4_A_23_P145289	0.779901103	0.88767407	0.824456878	0.819089778	0.866906047
UKv4_A_23_P97923	0.893362996	0.810354155	0.872594767	1.044070465	0.895481465
UKv4_A_23_P326760	0.262131337	-0.028190587	0.142837747	1.31302328	0.448880094
UKv4_A_23_P70127	0.883455056	0.765535974	0.887637857	0.994677115	1.043366615
UKv4_A_23_P39263	-0.270979756	0.336855206	0.249476542	0.345636447	0.271535751
UKv4_A_23_P2307	0.317104423	0.378936399	0.341740829	0.122462834	0.034978428
UKv4_A_23_P117873	-0.553515851	-0.360392523	-0.560844583	-0.628978681	-0.676755682
UKv4_A_23_P136916	0.983493289	1.167873231	1.235300386	1.139845375	1.069879889
UKv4_A_23_P34956	1.656274375	1.774116104	1.748771198	1.543124008	1.610161495
UKv4_A_23_P113283	-0.247008934	-0.065139927	-0.093505914	0.390210933	0.178739292
UKv4_A_23_P34473	-1.963000216	-2.307075339	-2.235976248	-1.900857447	-1.983860089
UKv4_A_23_P325501	1.013856331	0.831907936	1.040074505	1.063345918	0.86425472
UKv4_A_23_P255444	0.478827572	-0.231069833	-0.536775638	-0.240457818	-0.345928941
UKv4_A_23_P143190	0.828162359	0.987232013	0.870589022	0.711267709	0.837446854
UKv4_A_23_P354705	-0.064830683	0.026549175	-0.084814351	0.329975141	0.727269471
UKv4_A_23_P390958	0.361210736	-0.031953946	0.216381744	0.707954741	-0.323539954
UKv4_A_24_P251950	-1.209357556	-0.605352962	-0.464903096	-0.772641047	-0.942772198
UKv4_A_23_P118038	1.015134775	1.236640058	1.164765008	1.075393077	1.231905453
UKv4_A_23_P258281	0.978379514	1.099106404	0.971210581	0.983232314	1.157373694
UKv4_A_23_P142974	1.199230692	0.687873935	0.222064689	0.667295581	0.397621098
UKv4_A_23_P163087	0.409152381	0.111395808	0.792364953	0.748613901	1.31380201
UKv4_A_32_P109522	0.710225912	1.037182047	0.950818836	0.994677115	0.907854326
UKv4_A_24_P29595	0.040321325	-0.216358522	-0.123592095	0.23992263	0.198182359
UKv4_A_23_P96291	-0.07058368	-0.83765483	-1.724511182	-1.872546625	-1.969425084
UKv4_A_23_P120243	0.185105094	-0.077456374	-0.256305579	-0.122395664	-0.225146249
UKv4_A_23_P85742	1.128916279	0.995785101	1.036397305	1.1967682	1.091974284
UKv4_A_32_P423691	-1.199449616	-0.996400143	-1.395568943	-1.60359381	-1.428848887
UKv4_A_23_P23797	-1.963000216	-1.835287008	-1.735542781	-1.900857447	-1.983860089
UKv4_A_23_P23947	0.23017024	-0.263571568	-0.348235575	-0.011561805	0.03527302
UKv4_A_24_P186994	1.756312607	1.890780224	1.620069204	1.569928936	1.696771523
UKv4_A_23_P52668	-0.280248474	-0.844155177	-1.082338376	-0.836189809	-0.640520874
UKv4_A_23_P78330	-0.970288552	-0.678909518	-0.92288162	-1.149114753	-1.051771213
UKv4_A_24_P280664	-1.285105355	-1.429528516	-1.347431054	-1.852367634	-1.955579264
UKv4_A_23_P378574	-1.011518367	-0.67617253	-0.891458276	-1.425898221	-1.255334239
UKv4_A_23_P257278	0.403399384	0.459677549	0.376507082	0.382681459	0.411761511
UKv4_A_23_P90463	1.942006579	2.101186187	2.231152957	1.958750979	2.171948311
UKv4_A_23_P126623	0.944820362	1.084737216	1.016339851	0.929923637	0.916397492
UKv4_A_23_P323823	-1.963000216	-2.293048275	-2.235976248	-1.879473741	-1.969425084
UKv4_A_23_P154938	1.754714553	1.713902365	1.774845888	1.656969657	1.69323642
UKv4_A_23_P58482	1.042621318	1.031708071	0.898335166	0.912455257	0.970602408
UKv4_A_23_P116533	0.936830088	0.392621339	0.434673697	0.642297726	0.57467085
UKv4_A_23_P116371	0.69296692	-0.135959496	-0.759079082	-0.855164084	-0.982542109
UKv4_A_23_P110412	-0.16966308	-0.301547278	-0.307786377	-0.050112712	-0.272280958
UKv4_A_23_P112241	1.659790095	1.670794802	1.836689703	1.672932142	1.855851167
UKv4_A_23_P24884	0.154422441	0.305379842	0.291597195	0.396836871	0.422072228
UKv4_A_23_P153698	0.620734842	0.74090308	0.745564228	0.618203409	0.636240564
UKv4_A_23_P145841	-1.929760675	-0.600905356	-0.543795747	-0.990995796	-0.979596189
UKv4_A_23_P214727	-0.44388929	-0.429843597	-0.250622634	-0.512422422	-0.445206423
UKv4_A_23_P2262	0.5641637	0.686847565	0.446039587	0.599831493	0.483641943
